CAMPO,DESCRIPCION
CVEGEO,CLAVE GEOESTADISTICA CONCATENADA
NOMGEO,NOMBRE DE LA LOCALIDAD
AMBITO,TIPO DEL DATO GEOGRÁFICO (URBANO O RURAL)
CVE_ENT,CLAVE DE ENTIDAD FEDERATIVA
CVE_MUN,CLAVE DE MUNICIPIO
CVE_LOC,CLAVE DE LOCALIDAD
CVE_MZA,CLAVE DE MANZANA
TIPOMZA,"TIPO DE MANZANA  puede ser: (Contenedora, Contenida, Edificio-Manzana,"
CONDICION,SITUACION ACTUAL DEL DATO GEOGRAFICO
GEOGRAFICO,NOMBRE DEL DATO GEOGRAFICO
NOMBRE,REFERENCIA DEL DATO GEOGRAFICO
TIPO,CLASIFICACION DEL DATO GEOGRAFICO
AMBITO,TIPO DEL DATO GEOGRAFICO (URBANO O RURAL)
CVESERV,CLAVE  DEL SERVICIO
CVEFT,CLAVE DEL FRENTE DE MANZANA
CVEVIAL,CLAVE DE LA VIALIDAD
CVESEG,CLAVE DEL SEGMENTO DE VIALIDAD CONFORME A LAS MANZANAS
TIPOVIAL,TIPO DE VIALIDAD
NOMVIAL,NOMBRE DE VIALIDAD
